CIC,ACNA,Entity,Assgnmt Dt,Contact,Phone,Street,City,State,Zip
0698,NYC,Bell Atlantic Communications,05/22/1984,laura.r.dalton@verizon.com,,,,,
0699,KYL,"US TeleServices, Inc.",02/25/1994,Ed Hook,703-691-2220,"10410 Main St., Suite 210",Fairfax,VA,22030
0700,BUN,"UCN, Inc.",7/3/1984,Provisioning Dept.,800-538-0920,"7730 S. Union Park Ave., Suite 500",Midvale,UT,84047
0701,CWG,Continental Long Distance,02/25/1994,Scott Watson,---,---,---,---,---
0707,SDY,TelVue Corporation,11/19/1986,Randy Gilson,856-273-8888,"16000 Horizon Way, Suite 500","Mt. Laurel,",NJ,08054
0709,BUN,"UCN, Inc.",7/3/1984,Provisioning Dept.,800-538-0920,"7730 S. Union Park Ave., Suite 500",Midvale,UT,84047
0710,---,Caztel Communications Inc.,02/09/2001,Nathalie Lacroix,418-455-5546,C.P. 425,"Sainte-Marie De Beauce, Quebec",CANADA,G6E 3B7
0712,BGP,"Budget Prepay, Inc. ",9/4/2008,Tim Larkins,888-777-4142,"1325 Barksdale Blvd., Suite 200","Bossier City,",LA,71111
0714,BGP,"Budget Prepay, Inc. ",3/12/2004,Tim Larkins,888-777-4142,"1325 Barksdale Blvd., Suite 200","Bossier City,",LA,71111
0715,CKX,"Latatel de America, Inc.",04/27/1990,Jeff R. Blaine,212-874-6286,"304 West 88th St., Suite GB","New York,",NY,10024
0716,NND,"Nationwide Communications, Inc.",,---,---,---,---,---,---
0718,BEY,"U S West Long Distance, Inc.",,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
0719,STZ,Americatel Corporation,05/16/1990,Aurora Ares,301-610-4339,"7361 Calhoun Place, Suite 650",Rockville,MD,20855
0722,HPL,"NTS Communications, Inc.",06/22/1990,Bernadette Y. Drumma,806-771-4701,1220 Broadway,Lubbock,TX,79401
0723,CPL,"Capital Telecommunications, Inc.",12/05/1989,---,---,---,---,---,---
0725,IOR,"McLeodUSA Telecommunications Services, Inc.",11/06/1989,Chris Chase,918-419-3607,"15 East 5th St., Suite 1700",Tulsa,OK,74103
0728,PIO,"Peoples Communication, Inc.",,Gena von Reyn,903-763-4941,"102 N. Stephens, P.O. Box 920",Quitman,TX,75783
0731,TZC,Telescan Inc.,04/05/1989,Stan Mosley,423-282-5043,"204 1/2 W. Oakland, P.O. Box 4747","Johnson City,",TN,37602
0732,ATX,AT&T Corp.,05/20/1987,Linda F. Richardson,925-543-1530,"5001 Executive Pkwy, Room 3W200W",San Ramon,CA,94583
0735,BUN,"UCN, Inc.",7/20/1995,Provisioning Dept.,800-538-0920,"7730 S. Union Park Ave., Suite 500",Midvale,UT,84047
0736,ORI,"Otter Com, Inc.",2/24/2004,Dave Bickett,218-826-6161,"100 Main St., P.O. Box 277","Underwood,",MN,56586
0737,TDD,"MCI Communications Services, Inc. (wholly owned subsidiary of Verizon Business Global LLC)",04/02/1985,laura.r.dalton@verizon.com,,,,,
0738,---,International Telehop Network Systems Inc.,4/16/2010,Michel Bays,416-494-4490 x243,1039 McNicoll Avenue,"Toronto, Ontario",CANADA,M1W 3W6
0742,BML,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",12/29/1986,laura.r.dalton@verizon.com,,,,,
0744,SJE,"St. Joe Comms., Inc. dba Fairpoint Long Distance",05/14/1987,Alrick Thomas,207-648-3460,One Davis Farm Rd.,Portland,ME,04103
0750,HMC,"Hi-Rim Communications, Inc.",03/29/1994,---,---,---,---,---,---
0751,TUH,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",05/15/1989,laura.r.dalton@verizon.com,,,,,
0752,EXL,"Excel Telecommunications, Inc.",1/26/1990,Ron McClenan,---,P. O. Box 650582,"Dallas,",TX,75265
0755,ATX,AT&T Corp.,12/05/1989,Linda F. Richardson,925-543-1530,"5001 Executive Pkwy, Room 3W200W",San Ramon,CA,94583
0756,XZP,Zero Plus ,06/16/1987,Amy Atkins,210-949-7130,"7411 John Smith Dr., Suite 1500","San Antonio,",TX,78229
0757,PAC,"CenturyLink Communications, LLC",04/17/1986,Lori Northup,303-707-8654,700 W. Mineral Ave,Littleton,CO,80120
0758,PAC,"CenturyLink Communications, LLC",4/17/1986,Lori Northup,303-707-8654,700 W. Mineral Ave,Littleton,CO,80120
0763,SNG,The Southern New England Telephone Company dba Frontier Communications of Connecticut,04/15/1992,Sheri M. Pressler,260-461-3475,6430 Oakbrook Pkwy.,Fort Wayne,IN,46825
0764,NPU,Network Plus,,---,---,---,---,---,---
0765,BWG,"Broadwing Communications, LLC",04/02/1985,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
0766,DMH,"Andiamo Telecom, LLC",10/9/1985,Jack Kelley,480-850-2707,"10575 North 114th St., Suite 103","Scottsdale,",AZ,85259
0767,PLS,Payline Systems Inc.,12/10/1986,---,---,---,---,---,---
0768,UCD,"SECOM, Inc.",11/29/2010,Jon Saunders,800-657-7149,402 Santa Fe Ave.,LaJunta,CO,81050
0770,SRV,Souris River Telecommunications Company,,Steven D. Lysne,701-858-5246,3615 N. Broadway,Minot,ND,58701
0771,TEM,MCImetro Access Transmission Services LLC,05/14/1987,godfrey.chisanga@verizon.com,,,,,
0772,ATX,AT&T Corp.,12/05/1989,Linda F. Richardson,925-543-1530,"5001 Executive Pkwy, Room 3W200W",San Ramon,CA,94583
0773,---,Rogers Communications Partnership (RCP),08/29/1995,Sheila Tan,416-935-8140,350 Bloor Street East,"Toronto, Ontario",CANADA,M4W 0A1
0774,NBS,"Nebraska Long Distance Company, LLC",5/20/2009,Kathy Lauer,402-329-6225,"112 S. 5th St., P.O. Box 113",Pierce,NE,68767
0775,PCR,Pencor Services dba Palmerton Long Distance,03/25/1992,Jaime Mendes,610-826-9192,"613 Third St., P.O. Box 153",Palmerton,PA,18071
0776,PRY,Priority One Plus Long Distance,,---,---,---,---,---,---
0778,SHW,"Communigroup of K.C., Inc.",12/17/1991,---,---,---,---,---,---
0780,MXT,Matrix Telecom,02/14/1992,Jill M. Smith,214-254-3857,"433 Las  Colinas Blvd. E, Suite 500",Irving,TX,75039
0781,WXL,"First Communications, LLC",10/21/1994,Jorge Rodriguez,630-812-6395,3340 W. M,Akron,OH,44333
0782,STE,"ILD Telecommunications, Inc.",1/7/1986,Greg Hall,---,"16200 Addison Rd., Suite 180",Addison,TX,75001
0783,MXN,MTS  Communications Inc.,07/08/1993,Brian Scott,204-941-6776,191 Pioneer Avenue,"Winnipeg, Manitoba",CANADA,R3C 3V6
0784,SNH,"Suntel Network, Inc.",03/17/1988,Richard Kirkwood,407-472-0758,2821 University Acres Dr.,"Orlando,",FL,32817
0787,STT,Star Tel of Abilene/Western Telenet Inc.,03/20/1986,---,---,---,---,---,---
0789,MIC,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",02/26/1990,laura.r.dalton@verizon.com,,,,,
0793,SWX,Southwest Texas Long Distance Company,,Gary C. Gilmer,830-683-1924,P.O. Box 588,Rocksprings,TX,78880
0795,SGY,Caprock Communications,02/14/1992,---,---,---,---,---,---
0797,TOA,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",9/22/1992,laura.r.dalton@verizon.com,,,,,
0799,LGF,"Long Distance International, Inc.",07/20/1995,---,---,---,---,---,---
0800,SAN,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",02/26/1989,laura.r.dalton@verizon.com,,,,,
0801,MAL,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",12/29/1986,laura.r.dalton@verizon.com,,,,,
0802,ELG,Electric Lightwave LLC dba Allstream,12/11/1992,Jeanne R. Bell,360-558-4159,18110 SE 34th St.,Vancouver,WA,98683
0803,HGY,Low Country Carriers dba Hargray L.D. Co.,10/24/1988,Cissy Zareva,843-686-1256,"856 William Hilton Pkwy., Bldg. C",Hilton Head Island,SC,29928
0804,MQQ,"Mountain Communications, LLC t/a Procom",6/27/2018,Rita K. Friend,304-379-8276,452 Casteel Road,Bruceton Mills,WV,26525
0805,DNZ,"Dial-Around TelecomUSA, Inc.",4/22/2004,Hayri Barutcu,954-478-0115,"200 South Biscayne Blvd., #2790",Miami,FL,33131
0807,SNZ,South Carolina Net Inc.,08/19/1992,Roger Schroppe,803-726-4063,"1500 Hampton St., Suite 101",Columbia,SC,29201
0808,ETG,Eastern Telecom dba InterQuest,,Edward J. Webber,585-340-2854,600 Willowbrook Office Park,Fairport,NY,14450
0810,WHG,Winstar Communications LLC,05/14/1987,Pat Gartner,---,520 Broad St.,Newark,NJ,07102
0811,VRT,"VarTec Telecom, Inc.",3/22/1989,"Michael G. Hoffman, Esq.",972-478-3300,2440 Marsh Lane,Carrollton,TX,75006
0813,PGJ,"PNG Telecomms., Inc. dba PowerNet Global Communications",11/19/1992,Penny Thurnau,513-942-7900,8805 Governor's Hill Drive,Cincinnati,OH,45249
0817,VAC,VALUE-ADDED COMMUNICATIONS,09/13/1990,---,---,---,---,---,---
0818,MZL,"VarTec Telecom, Inc.",09/24/1991,"Michael G. Hoffman, Esq.",972-478-3300,2440 Marsh Lane,Carrollton,TX,75006
0819,CBV,Cablevision Lightpath Inc.,,Tony Filippone,516-803-6240,200 Jericho Quadrangle,Jericho,NY,11753
0822,ULM,Athena International L.L.C.,07/20/1995,Moe Prasad,---,---,---,---,---
0824,TRI,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",2/27/1990,laura.r.dalton@verizon.com,,,,,
0826,TMN,MCImetro Access Transmission Services LLC,05/14/1987,godfrey.chisanga@verizon.com,,,,,
0827,UXC,"Omniplex Communications Group, LLC",04/05/2000,Carin Hicks,---,"707 Spirit 40 Park Drive, Suite 120","Chesterfield,",MO,63005
0828,CGY,"Excel Telecommunications, Inc.",,Ron McClenan,---,P. O. Box 650582,"Dallas,",TX,75265
0829,MVK,Moapa Valley Telephone Company,6/9/2005,Brad Lyon,702-397-2117,1120 N. Moapa Valley Blvd.,Overton,NV,89040
0830,PSV,Public Service Company of NM,8/6/1993,Stuart Grimes,505-848-2858,Alvarado Sq.,"Albuquerque,",NM,87158
0831,NWN,"Global Crossing Telecommunications, Inc.",08/03/1988,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
0832,TDD,"MCI Communications Services, Inc. (wholly owned subsidiary of Verizon Business Global LLC)",03/31/1987,laura.r.dalton@verizon.com,,,,,
0833,BTM,"Business Telecom, Inc. (BTI)",11/15/1985,Edward J. Webber,585-340-2854,600 Willowbrook Office Park,Fairport,NY,14450
0834,CFF,"First Communications, LLC",3/21/1994,Jorge Rodriguez,630-812-6395,3340 W. Market St.,Akron,OH,44333
0835,TDD,"MCI Communications Services, Inc. (wholly owned subsidiary of Verizon Business Global LLC)",03/31/1987,laura.r.dalton@verizon.com,,,,,
0837,TAD,"Windstream NTI, Inc.",10/31/1989,Edward Webber,585-340-2854,600 Willowbrook Office Park,Fairport,NY,14450
0838,PHT,PhoneTel Technologies Inc.,05/18/1989,Robert Mudryk,216-241-2555,"1127 Euclid Ave., Suite #650",Cleveland,OH,44115
0839,CWI,Cable & Wireless ,11/24/1986,---,---,---,---,---,---
0840,WPC,World Pass Communications Corp.,07/20/1995,---,---,---,---,---,---
0841,FFM,First Financial Management Corp.,04/10/1990,Stephen L. Dearman,,---,---,---,---
0844,---,Brooke Telecom Co-operative Ltd.,09/29/2001,Jim Janssens,519-844-2000,3241 Park Street,"Inwood, Ontario",CANADA,N0N 1K0
0846,TGR,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",04/17/1987,laura.r.dalton@verizon.com,,,,,
0848,TIO,"Primus Telecommunications, Inc.",,Jeff Mellott,---,2094 185th St.,Fairfield,IA,52556
0851,HUV,"HunTel CableVision, Inc. dba HunTel Communications",05/08/2003,Jane Sutherland,402-426-6242,1638 Lincoln St.,Blair,NE,68008
0852,SNT,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",5/14/1987,laura.r.dalton@verizon.com,,,,,
0853,TFC,Telefonica Larga Distancia,12/15/2016,Carlos Lopez,787-530-9144,1502 F.D. Roosevelt Ave.,Guaynabo,Puerto Rico,00968
0855,UTT,Union Telephone Company,5/21/1993,Amber L. Kerr,307-782-4138,"P.O. Box 160, 850 N. Hwy. 414","Mountain View,",WY,82939
0856,FWN,"Lumos Networks, Inc.",02/21/1991,Mark M. Ritter,540-946-7240,One Lumos Plaza,"Waynesboro,",VA,22980
0857,TDD,"MCI Communications Services, Inc. (wholly owned subsidiary of Verizon Business Global LLC)",04/29/1985,laura.r.dalton@verizon.com,,,,,
0858,UCN,Zayo Canada Inc.,01/29/1992,Catherine O'Grady,416-640-9703,200 Wellington St.,"Toronto, Ontario",CANADA,M5G 3V2
0859,IOX,"Birch Telecom, Inc.",04/02/1985,---,---,---,---,---,---
0861,USY,"Telco Holdings, Inc. ",05/06/1992,Bryan Rachlin,---,4219 Lafayette Center Dr.,"Chantilly,",VA,20151
0865,EXP,"Express Communications, Inc.",01/29/1991,Mark Shlanta,605-334-7432,2900 West 10th St.,Sioux Falls,SD,57104
0866,AAM,Alascom (AT&T),04/04/1986,Linda F. Richardson,925-543-1530,"5001 Executive Pkwy., Room 3W200W",San Ramon,CA,94583
0867,BTL,MCImetro Access Transmission Services LLC,06/29/1988,godfrey.chisanga@verizon.com,,,,,
0868,EGI,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",3/9/1993,laura.r.dalton@verizon.com,,,,,
0869,UCN,Zayo Canada Inc.,01/29/1992,Catherine O'Grady,416-640-9703,200 Wellington St.,"Toronto, Ontario",CANADA,M5G 3V2
0870,BWG,"Broadwing Communications, LLC",08/22/1986,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
0873,TPD,"OneStar Long Distance, Inc.",07/14/1987,---,---,---,---,---,---
0876,TON,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global)",12/04/1984,laura.r.dalton@verizon.com,,,,,
0877,VTH,"Velocity Telephone, Inc.",1/4/2007,Jim Hickle,763-222-1004,"4050 Olson Memorial Hwy., Suite 100",Golden Valley,MN,55422
0880,SVL,One Call Communications,11/05/1985,---,---,---,---,---,---
0881,CNK,"Broadwing Communications, LLC",10/29/1986,Lori Northup,303-707-8654,700 W. Mineral Ave,Littleton,CO,80120
0882,HOL,Home Owners Long Distance Inc.,,Amy Atkins,210-949-7130,"7411 John Smith Drive, Suite 1500","San Antonio,",TX,78229
0885,CGI,"TEC of Jackson, Inc.",06/16/1987,Lisa Wigington,601-354-9070,"236 E Capitol St., Floor 5","Jackson,",MS,39201
0887,TGN,Powercom Corporation,05/27/1986,Karen J. Schroeder,920-887-3148,1807 North Center St.,"Beaver Dam,",WI,53916-0638
0888,MCG,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",,laura.r.dalton@verizon.com,,,,,
0889,VSJ,"Communigroup of K.C., Inc.",03/20/1986,---,---,---,---,---,---
0890,NHC,North County Communications Corporation,11/19/1992,Todd Lesser,619-364-4750,"3802 Rosecrans St., Suite 485","San Diego,",CA,92110
0891,CIN,Operator Service Company,05/14/1987,Jennifer Hinojosa,210-767-7041,6010 Exchange Parkway,San Antonio,TX,78238
0893,CND,"Windstream Communications, Inc.",6/3/1992,Edward Webber,585-340-2854,600 Willowbrook Office Park,Fairport,NY,14450
0897,IUT,"XO Communications, Inc.",,Lee R. Churchill,703-547-2808,13865 Sunrise Valley Dr.,Herndon,VA,20171
0898,MCK,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",05/18/1988,laura.r.dalton@verizon.com,,,,,
0899,TEC,"VarTec Telecom, Inc.",11/28/1984,"Michael G. Hoffman, Esq.",---,2440 Marsh Lane,Carrollton,TX,75006
0900,COE,MCImetro Access Transmission Services LLC,,godfrey.chisanga@verizon.com,,,,,
0902,MWT,Coast to Coast Telecommunications,10/18/1990,---,---,---,---,---,---
0908,NCQ,"NTC, Inc.",02/26/1991,---,---,---,---,---,---
0909,CWV,"XO Pennsylvania, Inc.",01/30/1987,Lee R. Churchill,703-547-2808,13865 Sunrise Valley Dr.,Herndon,VA,20171
0910,TOM,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",05/07/1986,laura.r.dalton@verizon.com,,,,,
0911,,RESTRICTED - Unavailable for assignment until further notice,,,,,,,
0912,OLP,"Windstream Norlight, Inc.",02/14/1991,Edward Webber,585-340-2854,600 Willowbrook Office Park,Fairport,NY,14450
0913,OWS,"Onvoy, LLC",5/27/2005,Bryan Bethea,312-380-4549,"550 W. Adams, Suite 900",Chicago,IL,60661
0914,ENY,"CenturyLink Communications, LLC",11/05/1985,James B. Cooper,318-340-5343,100 CenturyLink Dr.,"Monroe,",LA,71203
0915,TTH,Tele Tech Inc.,11/25/1965,---,---,---,---,---,---
0917,PAY,"PAY TEL COMMUNICATIONS, INC.",09/27/1990,Vincent Townsend,336-852-7419,4230 Beechwood Dr.,Greensboro,NC,27410
0924,XTL,"Xtel Communications, Inc.",07/20/1995,Harbinder Goraya,856-807-0423,"10 Lake Center Exec. Park, Suite 106, 401 Rt. 73 North",Marlton,NJ,08053
0925,YAK,Yak Communications (Canada) Corp.,07/30/2002,Andy Jaikissoon,647-925-5555,"48 Yonge Street, Suite 1200","Toronto, Ontario",CANADA,M5E 1G6
0927,SSB,"Smart City Solutions II, LLC",11/05/2002,Debbie Huttenhower,407-828-6656,P.O. Box 22856,"Lake Buena Vista,",FL,32830-2856
0928,HAY,"Hargray, Inc.",10/24/1988,Cissy Zareva,843-686-1256,"856 William Hilton Pkwy., Bldg. C",Hilton Head Island,SC,29928
0930,PLG,"Pilgrim Telephone, Inc.",10/10/1988,Scott Yacino,617-225-7000,"405 Waltham Street, PMB 340",Lexington,MA,02421
0931,JMD,"M.D. Communications, L.L.C. dba OTC Connections",3/27/2014,Delinda Kluser,541-932-4411,"P.O. Box 609, One Telephone Dr.",Mt. Vernon,OR,97865
0933,NAC,"Windstream D&E Systems, Inc.",05/07/1986,Edward Webber,585-340-2854,600 Willowbrook Office Park,Fairport,NY,14450
0936,KET,"Socket Telecom, LLC",7/25/2008,Anthony G. Lana,573-777-1991,2703 Clark Lane,"Columbia,",MO,65202
0937,AMM,McLeodUSA,10/23/1985,Chris Chase,918-419-3607,"15 East 5th St., Suite 1700",Tulsa,OK,74103
0939,WSK,Smart City Telecommunications LLC dba Smart City Telecom,05/08/2002,Debbie Huttenhower,407-828-6656,300 Bonnet Creek Rd.,"Lake Buena Vista,",FL,32830-2555
0940,PKI,Speak Telecom Inc.,6/25/2004,Don Cavanagh,613-237-7005,"177 Nepean Street, Suite 300","Ottawa, Ontario",CANADA,K2P 0B4
0942,QCC,"QCC, Inc.",09/21/1989,Scott Peterson,---,8829 Bond St.,Overland Park,KS,66214
0946,WIN,"First Communications, LLC",02/26/1987,Jorge Rodriguez,630-812-6395,3340 W. Market St.,Akron,OH,44333
0948,SSM,"Broadwing Communications, LLC",07/20/1995,Lori Northup,303-707-8654,700 W. Mineral Ave.,Littleton,CO,80120
0950,UYT,"Utility Telecom Group, LLC",12/21/2011,Kelly L. Stewart,209-949-4016,4202 Coronado Ave.,Stockton,CA,95204
0953,WDC,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",02/19/1990,laura.r.dalton@verizon.com,,,,,
0957,ATX,AT&T Corp.,07/20/1995,Linda F. Richardson,925-543-1530,"5001 Executive Pkwy, Room 3W200W",Sam Ramon,CA,94583
0959,TYW,TDS Telecom,05/16/1994,Phillip Berry,608-664-4524,525 Junction Rd.,"Madison,",WI,53717
0960,---,London Telecom,09/29/1994,Irma Dulay,416-207-7151,#500 - 5343 Dundas St. W,"Etobicoke, Ontario",CANADA,M9B 6K5
0963,CPL,"Capital Telecommunications, Inc.",12/05/1989,---,---,---,---,---,---
0964,LAQ,Local Access LLC,9/19/2013,Douglas W. Osborne,570-709-6636,11442 Lake Butler Blvd.,Windermere,FL,34586
0965,HOG,"CenturyLink Communications, LLC",12/17/1990,Lori Northup,303-707-8654,700 W. Mineral Ave,Littleton,CO,80120
0966,AUC,AUC Communications,02/26/1992,---,---,---,---,---,---
0969,MXN,MTS  Communications Inc.,09/19/2003,Brian Scott,204-941-6776,191 Pioneer Avenue,"Winnipeg, Manitoba",CANADA,R3C 3V6
0972,STZ,Americatel Corporation,11/5/1985,Aurora Ares,301-610-4339,"7361 Calhoun Place, Suite 650",Rockville,MD,20855
0973,GST,Universal Telephone & Telegraph,,---,---,---,---,---,---
0976,RFR,RS Fiber Cooperative,1/14/2017,Dan Pecarina,507-74-5805,310 Main St.,Gaylord,MN,55334
0978,WSD,Navigata Communications Limited,02/01/1994,Sarah Reilly,613-237-7191,300-177 Nepean St.,"Ottawa, Ontario",CANADA,K2P 0B4
0980,FEN,Fibernetics Corporation,03/21/2001,Rick Schleihauf,519-489-6700,605 Boxwood Dr.,"Cambridge, Ontario",CANADA,N3E 1A5
0981,WVL,"Alteva Long Distance, Inc.",,Cody M. Sullivan,845-986-2310,47 Main St.,Warwick,NY,10990
0982,WVI,"Wide Voice, LLC",12/17/2008,Erla Erlingsdottir,702-913-1084,410 South Rampart #390,Las Vegas,NV,89145
0983,STV,"Star Tel of Victoria, Inc.",04/04/1986,---,---,---,---,---,---
0985,MNK,"Madison Network Systems, Inc.",08/17/2001,Mary J. Schwartz,618-635-7283,"21668 Double Arch Rd., P.O. Box 29",Staunton,IL,62088
0986,MCI,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",10/18/1985,laura.r.dalton@verizon.com,,,,,
0987,TDD,"MCI Communications Services, Inc. (wholly owned subsidiary of Verizon Business Global LLC)",02/26/1989,laura.r.dalton@verizon.com,,,,,
0988,WUT,AT&T EasyLink Services,05/07/1986,Linda F. Richardson,925-543-1530,"5001 Executive Pkwy, Room 3W200W",San Ramon,CA,94583
0989,KRB,KRB Telecom,12/11/1992,---,---,---,---,--,---
0993,SUC,"SouthWest United Communication,Inc",11/07/1989,Larry Adkins,---,7209 Overland Trail,Colleyville,TX,76034
0995,TAG,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",03/09/1993,laura.r.dalton@verizon.com,,,,,
0996,MIT,Midcontinent Communications,05/14/1987,Nancy Vogel,605-357-5485,5001 W. 41st St.,Sioux Falls,SD,57106
0997,GNM,Gas Company of New Mexico,8/26/1993,Stuart Grimes,505-848-2700,Alvarado Square,Albuquerque,NM,87158
0998,SHW,"Communigroup Of K.C., Inc.",06/16/1987,---,---,---,---,---,---
0999,SNC,"MCI Communications Services, Inc. (wholly owned sub. of Verizon Business Global LLC)",03/02/1982,laura.r.dalton@verizon.com,,,,,
1001,FLV,Finger Lakes Communications Group Inc.,5/24/2018,Jonathan Manna,315-548-7516,75 Main St.,Phelps,NY,14532
1002,FLV,Finger Lakes Communications Group Inc.,6/11/2018,Jonathan Manna,315-548-7516,75 Main St.,Phelps,NY,14532
1011,---,NARCOMM Inc.,2/21/2012,Daniel Hammond,---,8 King Street East,"Oshawa, Ontario",CANADA,L1H 8C1
1018,EYV,Easy Telephone Services Company,9/11/2007,Cathie Jewitt,954-298-2247,5467 N. State Rd. 7,Tamarac,FL,33319
1051,NZC,"Northern Colorado Communications, Inc.",03/22/2002,Toni M. Miller,970-483-7300,414 Main St.,"Wiggins,",CO,80654
1100,WNA,"Win.Net Telecommunications, Inc.",05/30/2002,Michael Tague,502-815-7171,"300 Distillery Commons, Suite 400","Louisville,",KY,40206
1102,WFT,"IdeaTek Telcom, LLC",9/8/2006,Daniel Friesen,620-543-2580,102 N. Main,Buhler,KS,67522
1104,IMY,"Network Billing Systems I, LLC",3/17/2008,Pamela L. Hintz,978-848-2055,"210 Interstate North Parkway, Suite 300",Atlanta,GA,30339
1123,PHP,Path Enterprises Inc.,10/19/2001,Suresh Tanna,908-688-8990 x121,177 Parkside Dr.,"Union,",NJ,07083
1150,---,Centennial Dominicana,01/02/2002,Jose Alfredo Rizek,809-503-1000,"Ave. W. Churchill #77, Edificio SALANA","Santo Domingo,",Dominican Republic,---
1212,XST,American Samoa Telecommunications Authority,5/30/2005,Alex Sene,684-633-1121,P.O. Box M,Pago Pago,American Samoa,96799
1234,DBL,Distributel Communications Ltd.?,07/14/2003,Don Cavanagh,613-237-7055,"Floor 3, 177 Nepean Street","Ottawa, Ontario",CANADA,K2P 0B4
1246,NKK,"Net Talk.Com, Inc.",4/14/2010,---,---,1100 NW 163rd Dr.,North Miami Beach,FL,33169
1273,---,Westport Telephone Company Limited,09/29/2001,Steve Lynn,613-273-0104,28 Main Street,"Westport, Ontario",CANADA,K0G 1X0
1282,GUE,"Guam Telecom, LLC",3/11/2010,Sean D. Miles,671-969-4093,P.O. Box 24728,Barrigada,Guam,96921
1289,PKK,Planet Call Telecommunications Inc. dba Buzz 1011-289,01/31/2003,Michel Bensoussan,514-788-1499,"5450 Cote des Neiges, Suite 522","Montreal, Quebec",CANADA,H3T 1Y6
1295,FEB,Fibernetics Corporation,5/6/2004,Rick Schleihauf,519-489-6700 ,605 Boxwood Dr.,"Cambridge, Ontario",CANADA,N3E 1A5
1313,GEP,"Georgetown Telephone Company, Inc.",8/22/2011,Joseph Miller III,601-858-2211,1154 Railroad Ave.,Georgetown,MS,39078
1359,ELX,"1stel, Inc.",11/21/2008,Natalie Howard,817-357-1016,205 E. Henderson,"Cleburne,",TX,76031
1369,RLZ,Triple 5 Communications Inc. dba Buzz 1011-555,8/22/2005,Raymond Houle,514-886-1128,200 - 6200 Decarie Boulevard,"Montreal, Quebec",CANADA,H3X 2K4
1411,,RESTRICTED-Unavailable for assignment until further notice,,,,,,,
1511,EKG,"ANPI Business, LLC",01/14/2002,Daniel Meldazis,312-348-8834,"550 W. Adams St., Suite 900",Chicago,IL,60661
1515,DBL,Distributel Communications Ltd.?,07/11/2003,Don Cavanagh,613-237-7055,"Floor 3, 177 Nepean Street","Ottawa, Ontario",CANADA,K2P 0B4
1537,LWB,Les.Net (1996) Inc.,4/5/2005,Leslie Bester,866-944-0009,1003 - 77 Edmonton Street,"Winnipeg, Manitoba",CANADA,R3C 4H8
1555,RLZ,Triple 5 Communications Inc. dba Buzz 1011-555,8/16/2005,Raymond Houle,514-886-1128,200 - 6200 Decarie Boulevard,"Montreal, Quebec",CANADA,H3X 2K4
1582,---,North Renfrew Telephone Company Limited,09/29/2001,Steve Lynn,613-273-0104,28 Main Street,"Westport, Ontario",CANADA,C0G 1X0
1633,RRF,"Red River Rural Telephone Association, Inc.",4/21/2008,Jeff Olson,701-553-8309,510 Broadway,Abercrombie,ND,58001
1651,IMJ,"Interstate Telecommunications Cooperative, Inc.",7/6/2007,James Canaan,605-874-8338,"312 4th St. West, P.O. Box 920",Clear Lake,SD,57226
1661,GOY,S-GO Leasing Company dba S-GO Long Distance,6/3/2005,Jay Mitchell,417-776-2247,P.O. Box 329,Seneca,MO,64865
1724,---,Rogers Communications Partnership (RCP),3/26/2005,Sheila Tan,416-935-8140,350 Bloor Street East,"Toronto, Ontario",CANADA,M4W 1A0
1777,LWB,Les.Net (1996) Inc.,4/5/2005,Leslie Bester,866-944-0009,1003 - 77 Edmonton Street,"Winnipeg, Manitoba",CANADA,R3C 4H8
1835,ELX,"1stel, Inc.",11/21/2008,Natalie Howard,817-357-1016,205 E. Henderson,"Cleburne,",TX,76031
1888,LWB,Les.Net (1996) Inc.,4/5/2005,Leslie Bester,866-944-0009,1003 - 77 Edmonton Street,"Winnipeg, Manitoba",CANADA,R3C 4H8
1954,DIP,"digitalIPvoice, Inc.",7/29/2009,Ricky Keele,---,4550 W. Oakey Blvd.,Las Vegas,NV,89102
